q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11844,18561.473,51162.164, 
52,1,3,1,2,0,2,5,2,1,1,5,1,1,1,3,1,4,1,5,4,3,3,1,1,3,3,5,5,1, , , ,1
49,2,1,2,2,0,5,2,2,4,5,5, , , ,5, , , , ,5,5, , , , , , , ,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1736.63,9382.964,43895.109, 
83,2,3,4,1, , ,1,2,1,5,5,3,1,3,5,3,5,3,4,4,4,4,1,1,3,1,4,4,1,11594.586,19277.379,53529.645,2
52,2,3,2,2,1,3,1,2,1,5,5,5,2,3,5,5,5,3,3,5,5,4,4,5,3,1,3,5,1, , , ,1
74,2,3,1,1,0,3,3,2,1,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,1,3,5,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4743.167,12871.93,41383.559, 
35,1,3,1,4,2,3,5,2,1,5,5,5,1,2,5,5,5,3,3,4,5,5,5,3,5,5,5,5,1,10046.511,15496.829,46573.777,2
67,1,3,1,2,0,1,3,2,1,1,5,5,1,5,3,4,4,2,5,5,3,5,4,5,5,1,5,5,1,8517.118,15537.319,45171.277,1
55,1,3,1,2,0,4,5,2,1,3,5,2,1,3,5,2,4,2,2,3,2,3,4,5,4,3,1,2,1,8359.326,14734.618,44996.727,1
27,2,3,1,2, ,3,5,2,2,2,5,5,1,5,3,3,3,5,5,5,5,2,1,1,5,1,1,4,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,12997.447,26655.549,48276.758, 
80,2,3,4,1,0,1,1,2,1,3,5,1,1,5,4,4,5,1,3,5,4,5,3,2,5,1,2,2,1, , , ,2
55,1,3,2,2,0,5,3,2,1,1,5,5,1,1,1,1,2,1,1,4,1,4,1,1,1,1,1,1,1,12781.847,27294.996,48666.586,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11835.095,23115.299,48430.477, 
27,1,3,1,2,0,4,4,2,1,4,4,3,1,4,5,5, ,2,2,3,5,2,2,2,2,2,1,2,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,12229.578,27522.393,48494.355, 
