V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
FS_3foDzoTlTqqMFEK,,Anonymous,,,67.79.54.158,0,2017-11-01 13:16:54,2017-11-01 13:17:51,0,,1,4,4,3,3,4,3,1,3,3,2,2,1,1,1,4,4,4,4,4,4,2,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 13:17:51,
FS_1i7ZhLrX8j2Kv5f,,Anonymous,,,70.117.155.67,0,2017-11-06 19:44:57,2017-11-06 19:57:01,0,310812,1,2,2,2,3,3,3,1,4,1,1,1,3,3,1,1,5,2,4,2,2,1,1,,,,1,1,1,1,1,,21,2,1,2,1,3,2,2,2,1,77657,10,3,2,2,1,Hardin,2,,,,,,,,,1,2,,,2,2,2,1,A1Q2YP83K2IQ34,,,,-1,2017-11-06 19:57:01,
FS_Q5nAyEsZH5gdvaN,,Anonymous,,,98.163.254.252,0,2017-11-05 15:18:13,2017-11-05 20:11:54,0,539142,1,5,2,5,5,3,3,1,3,3,2,2,1,3,1,2,2,3,3,2,2,1,1,,,,,,,,,1,56,2,1,4,3,1,2,2,2,1,70001,10,2,1,1,1,east jefferson parish,2,,,,,,,,,1,2,,,2,2,2,1,AQ0UJT5G0VVAL,,,,-1,2017-11-05 20:11:54,
FS_3KDgVd7kGTBlBNW,,Anonymous,,,208.54.83.199,0,2017-11-05 12:34:28,2017-11-05 12:39:59,0,747239,1,5,5,3,3,5,5,1,5,2,5,5,1,2,1,5,5,3,1,3,5,2,1,,1,,1,1,,,,,23,2,1,3,5,8,1,1,2,1,77339,8,1,2,1,1,Harris,3,,,,,,,,,1,1,2,3,,,,1,A2GVTP4DBFQTR8,,,,-1,2017-11-05 12:39:59,
FS_2TnhR5l9GzyLTay,,Anonymous,,,98.197.230.91,0,2017-11-05 08:10:48,2017-11-05 08:16:06,0,238157,1,5,4,3,3,5,5,1,3,1,2,5,5,5,1,5,5,2,4,4,5,2,1,,,,,1,,,,,34,2,1,1,4,3,1,2,2,1,77539,4,3,2,2,2,Galveston,1,1,,1,,,1,,5,2,2,,,2,2,1,1,AZZEX2G6Z1TC2,,,,-1,2017-11-05 08:16:06,
FS_1HiSmU8HQsAySE3,,Anonymous,,,73.155.107.51,0,2017-11-04 17:08:43,2017-11-05 09:23:08,0,620100,1,5,5,3,3,5,5,1,3,2,5,3,3,3,1,5,5,5,3,4,5,2,1,,,,1,1,,,,,26,2,4,4,5,2,2,2,2,1,77007,8,1,1,2,1,Harris,3,,,,,,,,,1,2,,,2,2,2,1,AAXT6UCU41Q76,,,,-1,2017-11-05 09:23:08,
FS_CeFAe9urRXI0u77,,Anonymous,,,208.80.171.113,0,2017-11-03 21:00:59,2017-11-03 21:08:42,0,355591,1,3,2,4,3,4,4,1,1,4,4,1,1,3,1,1,1,3,3,3,1,1,2,1,,,,1,,,1,,33,2,4,4,3,4,1,2,2,2,78363,6,3,2,2,2,Kleberg,3,,,,,,,,,2,1,2,2,,,,1,A1GW4IQHI78SKR,,,,-1,2017-11-03 21:08:42,
FS_sRPQ912AIsFRaw1,,Anonymous,,,76.241.26.137,0,2017-11-03 18:28:18,2017-11-03 18:34:26,0,319241,1,3,4,3,3,5,5,1,5,5,5,5,5,2,2,,,,,,,3,1,,,,,,,,,1,42,2,1,3,4,4,1,2,2,1,77433,6,1,1,1,2,harris,2,,,,,,,,,2,2,,,2,2,2,1,A3PNUKFE80TO9Z,,,,-1,2017-11-03 18:34:26,
FS_1f7ADSyF427MNDa,,Anonymous,,,97.107.121.1,0,2017-11-03 08:49:10,2017-11-03 08:58:25,0,210687,1,3,3,2,3,2,2,1,3,2,3,3,2,2,1,4,4,3,3,4,4,2,2,1,,,,,,,,,38,1,4,3,5,4,1,2,2,2,77507,4,1,2,1,1,harris,3,,,,,,,,,3,1,1,1,,,,1,CopiedA3EIHWF3BV85M6,,,,-1,2017-11-03 08:58:25,
FS_1Q4Tj65Ao9l3VzY,,Anonymous,,,73.206.107.226,0,2017-11-02 20:16:13,2017-11-02 20:21:35,0,685035,1,3,5,1,1,4,4,1,5,2,3,2,5,1,1,5,5,4,5,2,4,2,1,,,1,1,1,,1,1,,34,1,1,1,3,7,2,2,1,1,77373,8,1,2,2,2,Harris,1,2,1,1,1,1,1,,6,2,2,,,2,2,2,1,A1R3S4GZ4P7FBO,,,,-1,2017-11-02 20:21:35,
