Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLakeEvac
,1,1.0,0.0,0.0,,1.0,0.0,4,2,3,1,1,0.0,1.0,5,5,5,5,5,5,5,5,5,5,3,5,3,3,3,5,1,3,2,2601.678,637.409,
,1,1.0,0.0,0.0,,0.0,0.0,4,3,4,4,1,1.0,0.0,5,3,5,5,5,4,5,4,4,2,2,3,4,1,3,4,1,1,2,2666.423,671.661,
,1,1.0,0.0,0.0,,1.0,0.0,4,2,4,5,1,1.0,0.0,5,5,4,5,5,5,4,3,4,5,3,4,5,4,3,5,3,3,5,2631.111,648.258,
,1,1.0,0.0,0.0,,1.0,0.0,4,2,4,5,1,1.0,0.0,5,2,5,5,2,5,3,1,4,4,4,5,3,2,1,4,1,1,2,2790.91,349.926,
,0,1.0,0.0,0.0,,0.0,0.0,1,0,1,4,1,1.0,0.0,3,4,1,4,4,5,4,1,1,2,2,1,5,4,2,2,1,1,2,997.905,609.573,
,0,1.0,0.0,0.0,,1.0,0.0,4,0,2,5,1,1.0,0.0,5,1,5,5,5,5,4,4,5,5,5,5,5,1,2,2,2,3,5,997.833,610.841,
,0,0.0,1.0,0.0,,1.0,0.0,4,1,2,1,0,0.0,0.0,1,3,3,2,1,3,5,1,3,4,2,4,3,2,4,5,1,4,3,997.959,616.441,
,0,1.0,0.0,0.0,,1.0,0.0,6,2,2,2,1,1.0,0.0,5,5,2,5,3,4,5,1,3,5,2,3,5,3,1,3,1,1,1,85.518,85.518,
,1,1.0,0.0,0.0,,1.0,0.0,3,1,2,5,1,1.0,0.0,5,1,5,5,5,5,5,4,3,5,3,3,5,1,1,5,3,3,2,42772.18,1803.215,
,1,1.0,0.0,0.0,,1.0,0.0,4,2,4,5,1,0.0,1.0,5,5,4,5,5,5,3,2,3,3,2,2,5,4,3,4,3,2,1,6020.765,214.811,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,2,5,1,1.0,0.0,5,5,3,2,5,4,4,5,1,5,1,1,5,1,1,1,1,2,1,6012.651,210.571,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,2,5,1,0.0,0.0,5,3,3,4,3,4,1,1,1,3,1,1,3,3,2,2,1,4,5,6443.404,632.831,
,1,1.0,0.0,0.0,,1.0,0.0,14,5,2,3,1,0.0,0.0,4,4,3,4,3,4,3,2,4,4,4,4,4,2,3,4,3,4,4,7377.753,494.884,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,5,5,1,1.0,0.0,5,4,3,4,4,5,5,5,4,3,3,3,5,5,4,4,1,2,4,8882.093,1210.804,
,0,1.0,0.0,0.0,,1.0,0.0,4,2,4,5,1,1.0,0.0,5,5,4,5,5,4,4,4,4,1,1,4,5,1,1,1,1,3,5,8839.518,1266.896,
,0,1.0,0.0,0.0,,1.0,0.0,5,2,3,5,1,1.0,0.0,5,2,3,3,2,5,2,2,3,2,2,1,5,4,4,1,1,1,2,8966.041,1174.627,
,0,1.0,0.0,0.0,,1.0,0.0,2,2,3,5,1,0.0,1.0,5,5,2,3,2,3,3,1,4,5,1,2,5,1,1,3,1,4,1,7268.229,226.331,
,0,1.0,0.0,0.0,,1.0,0.0,5,3,1,3,1,0.0,1.0,5,4,3,5,1,5,4,5,2,5,3,3,3,2,2,1,1,2,2,7253.507,212.257,
,0,0.0,0.0,1.0,,1.0,0.0,3,1,2,3,0,1.0,0.0,5,5,5,5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5492.639,112.993,
,0,0.0,0.0,1.0,,1.0,0.0,2,0,2,5,1,1.0,0.0,5,1,5,5,5,5,3,1,4,1,1,1,5,1,1,1,1,1,1,5601.11,110.928,
,1,1.0,0.0,0.0,,1.0,0.0,4,2,2,4,1,1.0,0.0,5,5,3,3,4,4,4,5,4,5,3,3,3,5,5,5,3,4,1,3085.013,882.363,
