age,gender,edu,income,househd_size,r_white,r_black,r_asian,r_hispanic,r_native,has_children,has_elders,has_special_needs,has_pets,hs_single_fam,hs_condo,hs_mobile,hm_wood,hm_brick,owner,insurance,coast_dist,risk_stay,risk_evac,wind_safety,wind_property,flood_safety,flood_property,evac_decision
29,0,3,2,4,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,4,4,2,2,4,4,4,1
32,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4,3,4,3,2,4,4,0
29,1,4,1,4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,5,3,4,4,4,3,3,0
33,1,4,4,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,5,1,3,1,1,1,1,0
38,1,3,3,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,5,3,3,3,4,1,1,0
33,1,3,2,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,3,2,4,3,4,4,1
35,0,4,4,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0
38,0,2,4,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,2,3,3,2,3,2,2,1
20,0,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,4,2,4,4,4,4,0
42,1,2,3,4,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,3,3,4,3,3,5,5,0
32,1,4,3,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,3,3,3,3,3,3,3,0
34,0,0,2,7,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,4,3,5,1,1,4,4,0
33,0,3,3,6,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,2,2,1,5,5,5,5,1
30,0,3,4,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,2,3,4,4,4,4,5,0
29,1,2,1,5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,4,1,3,2,2,2,2,0
33,1,1,1,6,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,3,4,4,4,4,4,4,1
