lon,lat,county,current_zipcode,preIrma_zipcode,coast_dist
-81.94380188,26.57449341,Lee,33919,33919,1 to 10 mile
-82.50119781,36.46009827,Sarasota,37664,34285,1 to 10 mile
-82.72480011,27.89179993,Pinellas,33702,33702,1 to 10 mile
-80.2059021,26.24420166,Broward,33063,33063,10 to 30 miles
-81.87359619,26.55949402,Lee,33907,33907,1 to 10 mile
-82.76889801,28.02879333,Pinellas,34698,34698,1 to 10 mile
-81.30549622,28.6078949,Orange,32811,32811,10 to 30 miles
-82.6595993,28.21580505,PASCO,34653,34677,1 to 10 mile
-71.34980011,42.58790588,seminole,32708,32708,50 to 70 miles
-82.23639679,27.93789673,hillsbourgh,33594,33594,30 to 50 miles
-81.40499878,30.28010559,duval,32250,32250,Within 1 mile
-81.71520233,28.77600098,Lake,34711,34711,50 to 70 miles
-84.33209991,30.52520752,Leon,32303,32303,10 to 30 miles
-82.30239868,27.90029907,Hillsborough,33510,33510,10 to 30 miles
-81.68319702,30.39280701,Duval,32209,32209,30 to 50 miles
-81.26080322,28.56629944,orange,32801,48823,10 to 30 miles
-80.12989807,26.59579468,Palm Beach,33406,33406,1 to 10 mile
-81.49510193,28.20399475,osceola,34758,34758,30 to 50 miles
-82.62789917,28.29269409,Paco,34653,34653,1 to 10 mile
-81.48349762,28.52250671,Orange,32828,32828,10 to 30 miles
-81.58509827,30.27929688,Florida,32216,32256,30 to 50 miles
-81.49510193,28.20399475,Osceola,34758,34746,More than 70 miles
-80.35939789,25.73410034,FL,33025,33025,30 to 50 miles
-87.2173996,30.46209717,Escambia,32504,32504,1 to 10 mile
-81.44100189,28.58009338,Brevard,32903,32903,Within 1 mile
-81.04740143,29.19309998,Volusia,32129,32129,10 to 30 miles
-80.6115036,28.0381012,Brevard,32905,32905,10 to 30 miles
-81.23880005,28.49589539,Orange,32822,32822,More than 70 miles
-111.917099,33.43569946,miami,33032,33032,30 to 50 miles
-82.09670258,29.16540527,marion,34482,34482,More than 70 miles
-80.09059906,26.61759949,Palm Beach,33460,33426,Within 1 mile
-74.02459717,40.79040527,Hialeah,33016,33016,30 to 50 miles
-81.68599701,28.8742981,Lake,32726,32726,50 to 70 miles
-80.24220276,25.94889832,Miami,33014,33014,1 to 10 mile
-80.12729645,26.12089539,Broward,33020,33316,1 to 10 mile
-82.70480347,28.30310059,PASCO,34668,34668,Within 1 mile
-81.71520233,28.77600098,Lake,32757,32757,50 to 70 miles
-81.58719635,30.37030029,Duval,32246,32246,10 to 30 miles
-82.72899628,27.81889343,Pinellas,33782,33782,1 to 10 mile
-80.67359924,28.01699829,Brevard,32907,32907,10 to 30 miles
-81.19760132,28.51060486,orange,32829,32825,50 to 70 miles
-80.40350342,27.64680481,irc,32960,32960,1 to 10 mile
-81.23480225,28.88409424,volusia,32738,10462,30 to 50 miles
-81.23480225,28.88409424,Volusia,32725,32725,More than 70 miles
-81.63469696,30.1578064,Duval,32223,32223,10 to 30 miles
-84.38580322,33.7480011,Ponte Vedra Beach,35006,32004,1 to 10 mile
-81.48349762,28.52250671,orange,32819,32819,50 to 70 miles
-80.27940369,25.9828949,Dade,33186,33157,10 to 30 miles
-82.32649994,27.86610413,hillsborough,33569,33647,1 to 10 mile
-81.30549622,28.6078949,Brevard,32792,32909,10 to 30 miles
-85.67769623,30.33680725,manatee,34228,34228,1 to 10 mile
-85.26899719,29.84089661,Bay,32404,32404,Within 1 mile
-80.62400055,28.0717926,brevard,32904,32904,10 to 30 miles
-104.4083023,39.73880005,dade,80237,33196,10 to 30 miles
-81.7437973,28.27189636,Polk,33896,33896,More than 70 miles
-87.36009979,30.5019989,Escambia,32506,32506,More than 70 miles
-80.21440125,25.938797,Broward county ,33025,11203,1 to 10 mile
-111.9961014,40.69740295,Okaloosa,32579,32579,1 to 10 mile
-77.63210297,38.77009583,Orange County,32819,32819,1 to 10 mile
-81.58509827,30.27929688,Duval,32250,32250,10 to 30 miles
-112.3873978,33.37759399,Marion,85338,34491,50 to 70 miles
-80.22229767,26.0697937,BROWARD,33004,33004,10 to 30 miles
-80.22229767,26.0697937,BROWARD,33020,33020,1 to 10 mile
-81.41670227,28.30470276,Duval,32254,32210,1 to 10 mile
-82.4280014,28.48379517,Spring Hill,34608,34608,1 to 10 mile
-81.23480225,28.88409424,Orange,32825,32825,30 to 50 miles
-81.52980042,28.57040405,Seminole,32714,32714,50 to 70 miles
-82.76249695,28.08590698,Pinellas,34685,34685,1 to 10 mile
-86.77700043,36.14729309,duval,32207,32092,10 to 30 miles
-81.36620331,28.6638031,Seminole,32746,32779,30 to 50 miles
-81.39430237,28.57919312,Orange,32801,32801,50 to 70 miles
-81.58719635,30.37030029,Duval,32211,32211,10 to 30 miles
,,Dade,33169,33169,1 to 10 mile
-82.32009888,28.2059021,Pasco,33540,33540,10 to 30 miles
-82.62789917,28.29269409,Pasco,34654,34654,1 to 10 mile
-81.41139984,28.73460388,Alachua,32601,32601,30 to 50 miles
-82.65049744,28.38189697,Pasco,34668,34668,Within 1 mile
