index,no_01,no_02,no_03,no_other,no_other_code
1425,6,,,,
1427,18,,,,
1429,7,,,,
1430,4,,,,
1432,6,,,,
1433,29,,,I DECIDED I WOULD TAKE MY CHANCES,0
1434,6,,,,
1435,7,6,,,
1436,21,,,,
1437,30,,,,
1439,29,,,MY JOB FORCED ME TO STAY ON DUTY,18
1440,21,,,,
1446,6,,,,
1448,18,,,,
1451,6,,,,
1454,29,,,DONT LIVE NEAR WATER,34
1458,19,,,,
1459,6,7,,,
1462,4,11,,,
1464,18,,,,
1465,4,,,,
1466,16,,,,
1472,5,,,,
1474,29,,,MOTHER WAS VISITING DID NOT WANT TO LEAVE,32
1475,2,14,,,
1476,1,21,,,
1477,6,,,,
1478,6,24,,,
1479,1,,,,
1480,4,,,,
1482,18,,,,
1483,28,,,,
1485,18,,,,
1489,1,,,,
1494,21,,,,
1497,29,,,CONCERNED FOR HOUSES HE OWNED,16
1499,21,,,,
1500,12,,,,
1501,19,22,21,,
1502,21,29,,I LIVE IN A PLACE WHERE IT DOESN'T FLOOD,7
1504,4,,,,
1507,4,12,,,
1508,15,16,,,
1511,17,,,,
1513,6,,,,
1515,29,,,"LIVED THERE ALL HER LIFE,NO REASON TO GO ANYWHERE",33
1516,14,,,,
1517,1,,,,
1518,21,,,,
1519,17,15,,,
1520,1,,,,
1522,18,,,,
1523,1,,,,
1527,7,6,,,
1528,1,2,4,,
1532,21,6,,,
1535,21,1,,,
1536,30,,,,
1537,4,6,,,
1544,6,,,,
1547,27,29,,ALL THE FINANCIAL BURDEN THAT PUTS ON YOU.,35
1549,4,,,,
1550,14,,,,
1554,24,,,,
1559,29,,,FEEL SAFE HERE,6
1561,21,29,,HAD TO WORK,18
1562,10,12,,,
1566,5,12,7,,
1568,27,14,,,
1569,6,,,,
1570,22,,,,
1571,7,,,,
1578,6,,,,
1583,6,,,,
1584,5,,,,
1585,27,,,,
1587,29,,,CANT RUN FROM IT,31
1589,21,1,,,
1592,21,22,,,
1593,29,16,,DESIRE TO PROTECT MY HOUSE,16
1595,21,,,,
1597,4,,,,
1598,21,,,,
1600,29,,,JUST DECIDED TO BOARD UP WINDOWS AND STAY TWO ADULTS JUST F,0
1602,6,,,,
1604,29,,,HAD TO WORK,18
1605,4,,,,
1607,29,,,I WANTED TO BE HERE IN CASE SOMETHING HAPPENED TO MY HOUSE AND PROTECT IT,16
1610,5,24,,,
1612,14,,,,
1613,29,,,LEAVING BEFORE HAND,0
1624,6,,,,
1626,6,,,,
1629,1,,,,
1636,16,,,,
1638,6,,,,
1640,6,,,,
1641,13,,,,
1643,5,,,,
1652,6,,,,
1655,6,,,,
1659,4,,,,
1660,12,,,,
1661,25,,,,
1662,6,,,,
1664,18,,,,
1665,29,,,WEATHER FORCASTERS DON'T KNOW ANYTHING,0
1666,5,,,,
1669,1,,,,
1671,7,6,,,
1672,29,,,I WAS NOT AFRAID,0
1675,6,,,,
1676,29,,,I FELT SAFE BEING HOME,6
1679,6,,,,
1680,17,,,,
1685,6,5,7,,
1686,21,,,,
1688,6,,,,
1690,7,,,,
1693,4,,,,
1696,6,,,,
1700,29,,,DIDN'T WANT TO LEAVE THE HOUSE,0
1703,17,,,,
1704,6,,,,
1706,29,,,DIDN'T WANT TO,0
1707,19,,,,
1708,6,,,,
1709,7,6,,,
1710,21,,,,
1712,4,,,,
1715,17,,,,
1718,28,,,,
1720,21,,,,
1722,6,1,,,
1727,6,7,,,
1729,15,,,,
1730,29,,,NOT WORRIED,30
1733,6,,,,
1735,4,,,,
1738,6,,,,
1739,6,29,,WE DONT LEAVE,33
1740,7,,,,
1742,29,,,BECAUSE I HAVE MADE IT THROUGH ALL HURRICANES,33
1743,6,,,,
1744,1,,,,
1746,29,,,BEEN THROUGH CAMILLE AND WERE,33
1748,6,,,,
1757,29,,,I DID NOT FEEL LIKE IT,0
1759,29,,,I DIDN'T FEEL IT WASNEEDED,30
1760,21,,,,
1764,21,,,,
1765,1,,,,
1766,10,,,,
1767,6,,,,
1768,9,,,,
1769,6,,,,
1770,6,7,,,
1774,18,,,,
1777,29,,,I WASN'T SCARED OF THE STORM,0
1781,29,,,COULDN'T I'M A NURSE,18
1782,13,,,,
1783,12,,,,
1785,6,,,,
1788,29,,,THE EXPENSE OF TRAVELING.,35
1793,29,,,I'VE NEVER HAD,33
1794,7,24,,,
1796,6,,,,
1800,7,,,,
1804,24,,,,
1809,6,12,,,
1815,6,7,,,
1816,21,,,,
1818,21,,,,
1819,21,,,,
1820,6,,,,
1822,16,4,,,
1825,6,,,,
1828,21,,,,
1829,1,,,,
1836,6,,,,
1839,21,,,,
1846,6,,,,
1848,4,,,,
1849,29,,,JUST WANTED TO STAY,0
1850,29,,,I ALWAYS STAY HOME,33
1851,4,,,,
1852,24,,,,
1853,1,,,,
1854,6,,,,
1856,21,,,,
1858,21,,,,
1859,21,4,,,
1862,4,,,,
1863,1,,,,
1864,13,,,,
1865,7,,,,
1868,30,,,,
1869,1,,,,
1878,6,,,,
1879,24,,,,
1880,1,,,,
1881,1,,,,
1882,21,,,,
1885,1,,,,
1888,1,,,,
1889,21,,,,
1891,29,,,NEVER THOUGHT ABOUT LEAVING,33
1892,29,,,MY HUSBAND IS SICK SO WE HAD TO STAY HERE,28
1893,29,,,I WENT THROUGHT BETSY(HURRICANNE) AND I PREFFERED TO STAY HOME,33
1894,21,,,,
1897,6,,,,
1898,14,21,,,
1902,29,,,KEPT TRACK OF IT,0
1904,29,,,IT WAS HARD TO GET OUT,0
1906,29,,,CAR BROKE DOWN,27
1910,27,,,,
1911,29,,,I ALWAYS STAY HOME DURING HURRICANES; I DON'T LEAVE I GOT TOO MUCH TO LOSE,"16, 33"
1912,27,,,,
1916,21,,,,
1917,16,,,,
1920,29,,,I ALWAYS STAY HOME NO MATTER WHAT,33
1921,1,,,,
1922,30,,,,
1923,7,6,,,
1926,6,,,,
1927,21,22,,,
1933,6,,,,
1934,6,,,,
1943,22,,,,
1945,6,,,,
1949,1,,,,
1950,21,,,,
1951,21,,,,
1954,18,,,,
1963,28,,,,
1964,6,,,,
1965,29,,,I DIDN'T FEEL IT WOULD AFFECT ME,30
1969,12,,,,
1970,28,,,,
1971,29,,,JUST DESIDED NOT TO GO,0
1978,13,,,,
1980,21,,,,
1981,6,,,,
1982,21,,,,
1983,18,,,,
1985,29,,,TRAFFIC INFORMATION WAS THE MAIN PORBLEM,21
1986,15,,,,
1990,11,4,,,
1991,5,12,6,,
1993,4,,,,
1994,12,,,,
1995,21,,,,
1997,18,,,,
1998,29,,,DIDNT WANT TO,0
1999,7,,,,
2003,24,,,,
2008,1,,,,
2010,29,,,HAVE LIVESTOCK IN PROPERTY ANN COULD NOT GET TO TRANSPORT ELSE WHERE,"16, 27"
2011,21,,,,
2012,6,28,,,
2013,6,,,,
2016,29,,,FAR ENOUGH AWAY FROM COASTLINE,34
2017,29,,,WE NEVER LEAVE,33
2019,29,,,JUST DESIDED TO STAY,0
